Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_2024年05月15日_00时37分48秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=30, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 50, Train Loss: 0.1533, Test Loss: 0.7272, Test Accuracy: 70.35%, Best Test Accuracy: 70.35%
Epoch 51, Train Loss: 0.1322, Test Loss: 0.7273, Test Accuracy: 70.48%, Best Test Accuracy: 70.48%
Epoch 52, Train Loss: 0.1501, Test Loss: 0.7238, Test Accuracy: 70.81%, Best Test Accuracy: 70.81%
Epoch 53, Train Loss: 0.1444, Test Loss: 0.7246, Test Accuracy: 70.94%, Best Test Accuracy: 70.94%
Epoch 54, Train Loss: 0.1508, Test Loss: 0.7224, Test Accuracy: 71.21%, Best Test Accuracy: 71.21%
Epoch 55, Train Loss: 0.1268, Test Loss: 0.7213, Test Accuracy: 71.34%, Best Test Accuracy: 71.34%
Epoch 56, Train Loss: 0.1476, Test Loss: 0.7188, Test Accuracy: 71.88%, Best Test Accuracy: 71.88%
Epoch 57, Train Loss: 0.1170, Test Loss: 0.7203, Test Accuracy: 71.81%, Best Test Accuracy: 71.88%
Epoch 58, Train Loss: 0.1428, Test Loss: 0.7207, Test Accuracy: 71.88%, Best Test Accuracy: 71.88%
Epoch 59, Train Loss: 0.1258, Test Loss: 0.7206, Test Accuracy: 72.07%, Best Test Accuracy: 72.07%
Epoch 60, Train Loss: 0.1194, Test Loss: 0.7203, Test Accuracy: 72.27%, Best Test Accuracy: 72.27%
Epoch 61, Train Loss: 0.1136, Test Loss: 0.7200, Test Accuracy: 72.27%, Best Test Accuracy: 72.27%
Epoch 62, Train Loss: 0.1342, Test Loss: 0.7179, Test Accuracy: 72.94%, Best Test Accuracy: 72.94%
Epoch 63, Train Loss: 0.1116, Test Loss: 0.7186, Test Accuracy: 73.01%, Best Test Accuracy: 73.01%
Epoch 64, Train Loss: 0.1248, Test Loss: 0.7137, Test Accuracy: 73.60%, Best Test Accuracy: 73.60%
Epoch 65, Train Loss: 0.1310, Test Loss: 0.7128, Test Accuracy: 73.87%, Best Test Accuracy: 73.87%
Epoch 66, Train Loss: 0.1258, Test Loss: 0.7096, Test Accuracy: 74.00%, Best Test Accuracy: 74.00%
