Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/7726_05月17日_08时17分09秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=30, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 50, Train Loss: 0.1371, Test Loss: 0.6562, Test Accuracy: 74.93%, Best Test Accuracy: 75.20%
Epoch 51, Train Loss: 0.1370, Test Loss: 0.6561, Test Accuracy: 74.93%, Best Test Accuracy: 75.20%
Epoch 52, Train Loss: 0.1210, Test Loss: 0.6572, Test Accuracy: 74.87%, Best Test Accuracy: 75.20%
Epoch 53, Train Loss: 0.1357, Test Loss: 0.6619, Test Accuracy: 74.60%, Best Test Accuracy: 75.20%
Epoch 54, Train Loss: 0.1304, Test Loss: 0.6611, Test Accuracy: 74.73%, Best Test Accuracy: 75.20%
Epoch 55, Train Loss: 0.1219, Test Loss: 0.6650, Test Accuracy: 74.47%, Best Test Accuracy: 75.20%
Epoch 56, Train Loss: 0.1361, Test Loss: 0.6624, Test Accuracy: 74.87%, Best Test Accuracy: 75.20%
Epoch 57, Train Loss: 0.1278, Test Loss: 0.6599, Test Accuracy: 75.13%, Best Test Accuracy: 75.20%
Epoch 58, Train Loss: 0.1224, Test Loss: 0.6603, Test Accuracy: 75.13%, Best Test Accuracy: 75.20%
Epoch 59, Train Loss: 0.1248, Test Loss: 0.6617, Test Accuracy: 75.07%, Best Test Accuracy: 75.20%
Epoch 60, Train Loss: 0.1294, Test Loss: 0.6613, Test Accuracy: 75.27%, Best Test Accuracy: 75.27%
Epoch 61, Train Loss: 0.1205, Test Loss: 0.6650, Test Accuracy: 74.87%, Best Test Accuracy: 75.27%
Epoch 62, Train Loss: 0.1167, Test Loss: 0.6654, Test Accuracy: 74.87%, Best Test Accuracy: 75.27%
Epoch 63, Train Loss: 0.1108, Test Loss: 0.6628, Test Accuracy: 75.13%, Best Test Accuracy: 75.27%
Epoch 64, Train Loss: 0.1732, Test Loss: 0.6633, Test Accuracy: 75.20%, Best Test Accuracy: 75.27%
Epoch 65, Train Loss: 0.1359, Test Loss: 0.6655, Test Accuracy: 75.20%, Best Test Accuracy: 75.27%
Epoch 66, Train Loss: 0.1232, Test Loss: 0.6653, Test Accuracy: 75.20%, Best Test Accuracy: 75.27%
Epoch 67, Train Loss: 0.1269, Test Loss: 0.6660, Test Accuracy: 75.27%, Best Test Accuracy: 75.27%
Epoch 68, Train Loss: 0.1367, Test Loss: 0.6651, Test Accuracy: 75.27%, Best Test Accuracy: 75.27%
Epoch 69, Train Loss: 0.1186, Test Loss: 0.6655, Test Accuracy: 75.20%, Best Test Accuracy: 75.27%
Epoch 70, Train Loss: 0.1156, Test Loss: 0.6653, Test Accuracy: 75.20%, Best Test Accuracy: 75.27%
Epoch 71, Train Loss: 0.1394, Test Loss: 0.6659, Test Accuracy: 75.27%, Best Test Accuracy: 75.27%
Epoch 72, Train Loss: 0.1266, Test Loss: 0.6663, Test Accuracy: 75.27%, Best Test Accuracy: 75.27%
Epoch 73, Train Loss: 0.1378, Test Loss: 0.6674, Test Accuracy: 75.33%, Best Test Accuracy: 75.33%
Epoch 74, Train Loss: 0.1071, Test Loss: 0.6687, Test Accuracy: 75.20%, Best Test Accuracy: 75.33%
