Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_2024年05月15日_00时20分28秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=62, shuffle=True, learning_rate=0.001, epochs=100, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 50, Train Loss: 0.0179, Test Loss: 0.9259, Test Accuracy: 74.20%, Best Test Accuracy: 78.92%
Epoch 51, Train Loss: 0.0170, Test Loss: 0.9275, Test Accuracy: 73.94%, Best Test Accuracy: 78.92%
Epoch 52, Train Loss: 0.0171, Test Loss: 0.9430, Test Accuracy: 74.73%, Best Test Accuracy: 78.92%
Epoch 53, Train Loss: 0.0165, Test Loss: 0.9544, Test Accuracy: 75.27%, Best Test Accuracy: 78.92%
Epoch 54, Train Loss: 0.0162, Test Loss: 0.9809, Test Accuracy: 74.67%, Best Test Accuracy: 78.92%
Epoch 55, Train Loss: 0.0161, Test Loss: 1.0091, Test Accuracy: 74.47%, Best Test Accuracy: 78.92%
Epoch 56, Train Loss: 0.0169, Test Loss: 0.9794, Test Accuracy: 75.00%, Best Test Accuracy: 78.92%
Epoch 57, Train Loss: 0.0157, Test Loss: 0.9700, Test Accuracy: 74.27%, Best Test Accuracy: 78.92%
Epoch 58, Train Loss: 0.0155, Test Loss: 0.9791, Test Accuracy: 73.74%, Best Test Accuracy: 78.92%
Epoch 59, Train Loss: 0.0156, Test Loss: 1.0068, Test Accuracy: 73.74%, Best Test Accuracy: 78.92%
Epoch 60, Train Loss: 0.0152, Test Loss: 1.0375, Test Accuracy: 73.54%, Best Test Accuracy: 78.92%
Epoch 61, Train Loss: 0.0151, Test Loss: 1.0694, Test Accuracy: 73.54%, Best Test Accuracy: 78.92%
Epoch 62, Train Loss: 0.0150, Test Loss: 1.0997, Test Accuracy: 73.34%, Best Test Accuracy: 78.92%
Epoch 63, Train Loss: 0.0150, Test Loss: 1.1063, Test Accuracy: 73.67%, Best Test Accuracy: 78.92%
Epoch 64, Train Loss: 0.0153, Test Loss: 1.0819, Test Accuracy: 74.80%, Best Test Accuracy: 78.92%
Epoch 65, Train Loss: 0.0147, Test Loss: 1.0740, Test Accuracy: 74.07%, Best Test Accuracy: 78.92%
Epoch 66, Train Loss: 0.0146, Test Loss: 1.0814, Test Accuracy: 73.07%, Best Test Accuracy: 78.92%
Epoch 67, Train Loss: 0.0148, Test Loss: 1.0909, Test Accuracy: 74.20%, Best Test Accuracy: 78.92%
Epoch 68, Train Loss: 0.0144, Test Loss: 1.1084, Test Accuracy: 74.93%, Best Test Accuracy: 78.92%
Epoch 69, Train Loss: 0.0143, Test Loss: 1.1329, Test Accuracy: 75.47%, Best Test Accuracy: 78.92%
Epoch 70, Train Loss: 0.0142, Test Loss: 1.1610, Test Accuracy: 75.27%, Best Test Accuracy: 78.92%
Epoch 71, Train Loss: 0.0142, Test Loss: 1.1888, Test Accuracy: 74.93%, Best Test Accuracy: 78.92%
Epoch 72, Train Loss: 0.0141, Test Loss: 1.2108, Test Accuracy: 74.80%, Best Test Accuracy: 78.92%
Epoch 73, Train Loss: 0.0140, Test Loss: 1.2253, Test Accuracy: 74.60%, Best Test Accuracy: 78.92%
Epoch 74, Train Loss: 0.0139, Test Loss: 1.2337, Test Accuracy: 74.40%, Best Test Accuracy: 78.92%
Epoch 75, Train Loss: 0.0138, Test Loss: 1.2345, Test Accuracy: 74.27%, Best Test Accuracy: 78.92%
Epoch 76, Train Loss: 0.0138, Test Loss: 1.2247, Test Accuracy: 74.53%, Best Test Accuracy: 78.92%
Epoch 77, Train Loss: 0.0137, Test Loss: 1.2108, Test Accuracy: 74.60%, Best Test Accuracy: 78.92%
Epoch 78, Train Loss: 0.0136, Test Loss: 1.1969, Test Accuracy: 74.27%, Best Test Accuracy: 78.92%
Epoch 79, Train Loss: 0.0135, Test Loss: 1.1847, Test Accuracy: 73.47%, Best Test Accuracy: 78.92%
Epoch 80, Train Loss: 0.0134, Test Loss: 1.1759, Test Accuracy: 73.67%, Best Test Accuracy: 78.92%
Epoch 81, Train Loss: 0.0134, Test Loss: 1.1694, Test Accuracy: 73.87%, Best Test Accuracy: 78.92%
Epoch 82, Train Loss: 0.0133, Test Loss: 1.1684, Test Accuracy: 73.54%, Best Test Accuracy: 78.92%
Epoch 83, Train Loss: 0.0132, Test Loss: 1.1699, Test Accuracy: 73.20%, Best Test Accuracy: 78.92%
