Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_2024年05月15日_00时23分31秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=30, shuffle=True, learning_rate=0.0001, epochs=100, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 1, Train Loss: 0.6969, Test Loss: 0.7029, Test Accuracy: 56.58%, Best Test Accuracy: 56.58%
Epoch 2, Train Loss: 0.6427, Test Loss: 0.7114, Test Accuracy: 38.56%, Best Test Accuracy: 56.58%
Epoch 3, Train Loss: 0.5759, Test Loss: 0.7244, Test Accuracy: 37.90%, Best Test Accuracy: 56.58%
Epoch 4, Train Loss: 0.5098, Test Loss: 0.7483, Test Accuracy: 37.90%, Best Test Accuracy: 56.58%
Epoch 5, Train Loss: 0.4713, Test Loss: 0.7875, Test Accuracy: 37.90%, Best Test Accuracy: 56.58%
Epoch 6, Train Loss: 0.3707, Test Loss: 0.8220, Test Accuracy: 37.90%, Best Test Accuracy: 56.58%
Epoch 7, Train Loss: 0.3377, Test Loss: 0.8191, Test Accuracy: 37.90%, Best Test Accuracy: 56.58%
Epoch 8, Train Loss: 0.2630, Test Loss: 0.7887, Test Accuracy: 51.46%, Best Test Accuracy: 56.58%
Epoch 9, Train Loss: 0.2290, Test Loss: 0.7623, Test Accuracy: 67.09%, Best Test Accuracy: 67.09%
Epoch 10, Train Loss: 0.1691, Test Loss: 0.7480, Test Accuracy: 72.21%, Best Test Accuracy: 72.21%
Epoch 11, Train Loss: 0.1936, Test Loss: 0.7433, Test Accuracy: 74.67%, Best Test Accuracy: 74.67%
Epoch 12, Train Loss: 0.1312, Test Loss: 0.7417, Test Accuracy: 75.73%, Best Test Accuracy: 75.73%
Epoch 13, Train Loss: 0.1210, Test Loss: 0.7448, Test Accuracy: 76.20%, Best Test Accuracy: 76.20%
Epoch 14, Train Loss: 0.0998, Test Loss: 0.7463, Test Accuracy: 76.33%, Best Test Accuracy: 76.33%
Epoch 15, Train Loss: 0.0794, Test Loss: 0.7460, Test Accuracy: 76.46%, Best Test Accuracy: 76.46%
Epoch 16, Train Loss: 0.0688, Test Loss: 0.7418, Test Accuracy: 76.99%, Best Test Accuracy: 76.99%
Epoch 17, Train Loss: 0.0734, Test Loss: 0.7360, Test Accuracy: 76.86%, Best Test Accuracy: 76.99%
Epoch 18, Train Loss: 0.0554, Test Loss: 0.7369, Test Accuracy: 76.99%, Best Test Accuracy: 76.99%
Epoch 19, Train Loss: 0.0498, Test Loss: 0.7356, Test Accuracy: 77.59%, Best Test Accuracy: 77.59%
Epoch 20, Train Loss: 0.0704, Test Loss: 0.7558, Test Accuracy: 77.79%, Best Test Accuracy: 77.79%
Epoch 21, Train Loss: 0.0529, Test Loss: 0.7786, Test Accuracy: 77.66%, Best Test Accuracy: 77.79%
Epoch 22, Train Loss: 0.0426, Test Loss: 0.7996, Test Accuracy: 77.46%, Best Test Accuracy: 77.79%
Epoch 23, Train Loss: 0.0449, Test Loss: 0.8134, Test Accuracy: 77.39%, Best Test Accuracy: 77.79%
Epoch 24, Train Loss: 0.0432, Test Loss: 0.8230, Test Accuracy: 77.39%, Best Test Accuracy: 77.79%
Epoch 25, Train Loss: 0.0420, Test Loss: 0.8193, Test Accuracy: 77.79%, Best Test Accuracy: 77.79%
Epoch 26, Train Loss: 0.0415, Test Loss: 0.8053, Test Accuracy: 77.93%, Best Test Accuracy: 77.93%
Epoch 27, Train Loss: 0.0534, Test Loss: 0.7971, Test Accuracy: 77.99%, Best Test Accuracy: 77.99%
Epoch 28, Train Loss: 0.0663, Test Loss: 0.7836, Test Accuracy: 78.12%, Best Test Accuracy: 78.12%
Epoch 29, Train Loss: 0.0401, Test Loss: 0.7643, Test Accuracy: 78.52%, Best Test Accuracy: 78.52%
Epoch 30, Train Loss: 0.0875, Test Loss: 0.7609, Test Accuracy: 78.12%, Best Test Accuracy: 78.52%
Epoch 31, Train Loss: 0.0535, Test Loss: 0.7472, Test Accuracy: 77.79%, Best Test Accuracy: 78.52%
Epoch 32, Train Loss: 0.0419, Test Loss: 0.7584, Test Accuracy: 77.39%, Best Test Accuracy: 78.52%
Epoch 33, Train Loss: 0.0396, Test Loss: 0.7671, Test Accuracy: 77.26%, Best Test Accuracy: 78.52%
Epoch 34, Train Loss: 0.0784, Test Loss: 0.7541, Test Accuracy: 77.13%, Best Test Accuracy: 78.52%
Epoch 35, Train Loss: 0.0410, Test Loss: 0.7178, Test Accuracy: 77.93%, Best Test Accuracy: 78.52%
Epoch 36, Train Loss: 0.0461, Test Loss: 0.6991, Test Accuracy: 78.06%, Best Test Accuracy: 78.52%
Epoch 37, Train Loss: 0.0397, Test Loss: 0.6935, Test Accuracy: 78.52%, Best Test Accuracy: 78.52%
Epoch 38, Train Loss: 0.0497, Test Loss: 0.6982, Test Accuracy: 78.32%, Best Test Accuracy: 78.52%
Epoch 39, Train Loss: 0.0408, Test Loss: 0.7055, Test Accuracy: 78.12%, Best Test Accuracy: 78.52%
Epoch 40, Train Loss: 0.0377, Test Loss: 0.7178, Test Accuracy: 78.06%, Best Test Accuracy: 78.52%
Epoch 41, Train Loss: 0.0391, Test Loss: 0.7293, Test Accuracy: 78.12%, Best Test Accuracy: 78.52%
Epoch 42, Train Loss: 0.0457, Test Loss: 0.7310, Test Accuracy: 78.19%, Best Test Accuracy: 78.52%
Epoch 43, Train Loss: 0.0371, Test Loss: 0.7220, Test Accuracy: 78.06%, Best Test Accuracy: 78.52%
Epoch 44, Train Loss: 0.0653, Test Loss: 0.7161, Test Accuracy: 78.59%, Best Test Accuracy: 78.59%
Epoch 45, Train Loss: 0.0340, Test Loss: 0.7133, Test Accuracy: 78.79%, Best Test Accuracy: 78.79%
