Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/console_output_2024年05月14日_23时48分05秒.log
Config(log_dir='../record', dropout_rate=0.7, batch_size=62, shuffle=True, learning_rate=0.001, epochs=100, random_seed=42)
Data loaded and processed.
Epoch 51, Train Loss: 0.0013, Test Loss: 0.9158, Test Accuracy: 74.60%, Best Test Accuracy: 78.66%
Epoch 52, Train Loss: 0.0015, Test Loss: 0.9158, Test Accuracy: 74.53%, Best Test Accuracy: 78.66%
Epoch 53, Train Loss: 0.0012, Test Loss: 0.9356, Test Accuracy: 74.93%, Best Test Accuracy: 78.66%
Epoch 54, Train Loss: 0.0010, Test Loss: 0.9750, Test Accuracy: 74.40%, Best Test Accuracy: 78.66%
Epoch 55, Train Loss: 0.0006, Test Loss: 1.0179, Test Accuracy: 73.34%, Best Test Accuracy: 78.66%
Epoch 56, Train Loss: 0.0019, Test Loss: 0.9857, Test Accuracy: 73.34%, Best Test Accuracy: 78.66%
Epoch 57, Train Loss: 0.0003, Test Loss: 0.9731, Test Accuracy: 72.94%, Best Test Accuracy: 78.66%
Epoch 58, Train Loss: 0.0007, Test Loss: 0.9789, Test Accuracy: 73.67%, Best Test Accuracy: 78.66%
Epoch 59, Train Loss: 0.0005, Test Loss: 0.9975, Test Accuracy: 73.60%, Best Test Accuracy: 78.66%
Epoch 60, Train Loss: 0.0002, Test Loss: 1.0210, Test Accuracy: 74.07%, Best Test Accuracy: 78.66%
Epoch 61, Train Loss: 0.0002, Test Loss: 1.0503, Test Accuracy: 74.67%, Best Test Accuracy: 78.66%
Epoch 62, Train Loss: 0.0001, Test Loss: 1.0802, Test Accuracy: 74.20%, Best Test Accuracy: 78.66%
Epoch 63, Train Loss: 0.0003, Test Loss: 1.0913, Test Accuracy: 74.20%, Best Test Accuracy: 78.66%
Epoch 64, Train Loss: 0.0003, Test Loss: 1.0904, Test Accuracy: 74.53%, Best Test Accuracy: 78.66%
Epoch 65, Train Loss: 0.0002, Test Loss: 1.0844, Test Accuracy: 75.13%, Best Test Accuracy: 78.66%
Epoch 66, Train Loss: 0.0003, Test Loss: 1.0796, Test Accuracy: 74.93%, Best Test Accuracy: 78.66%
Epoch 67, Train Loss: 0.0002, Test Loss: 1.0830, Test Accuracy: 74.73%, Best Test Accuracy: 78.66%
Epoch 68, Train Loss: 0.0001, Test Loss: 1.0889, Test Accuracy: 74.47%, Best Test Accuracy: 78.66%
Epoch 69, Train Loss: 0.0002, Test Loss: 1.0969, Test Accuracy: 74.27%, Best Test Accuracy: 78.66%
Epoch 70, Train Loss: 0.0001, Test Loss: 1.1085, Test Accuracy: 73.80%, Best Test Accuracy: 78.66%
Epoch 71, Train Loss: 0.0001, Test Loss: 1.1219, Test Accuracy: 74.20%, Best Test Accuracy: 78.66%
Epoch 72, Train Loss: 0.0000, Test Loss: 1.1369, Test Accuracy: 73.80%, Best Test Accuracy: 78.66%
Epoch 73, Train Loss: 0.0000, Test Loss: 1.1526, Test Accuracy: 73.67%, Best Test Accuracy: 78.66%
Epoch 74, Train Loss: 0.0000, Test Loss: 1.1689, Test Accuracy: 74.20%, Best Test Accuracy: 78.66%
Epoch 75, Train Loss: 0.0000, Test Loss: 1.1864, Test Accuracy: 73.87%, Best Test Accuracy: 78.66%
Epoch 76, Train Loss: 0.0001, Test Loss: 1.2016, Test Accuracy: 74.00%, Best Test Accuracy: 78.66%
Epoch 77, Train Loss: 0.0000, Test Loss: 1.2157, Test Accuracy: 73.80%, Best Test Accuracy: 78.66%
Epoch 78, Train Loss: 0.0001, Test Loss: 1.2294, Test Accuracy: 73.54%, Best Test Accuracy: 78.66%
Epoch 79, Train Loss: 0.0000, Test Loss: 1.2382, Test Accuracy: 73.47%, Best Test Accuracy: 78.66%
Epoch 80, Train Loss: 0.0000, Test Loss: 1.2448, Test Accuracy: 73.67%, Best Test Accuracy: 78.66%
Epoch 81, Train Loss: 0.0001, Test Loss: 1.2485, Test Accuracy: 73.74%, Best Test Accuracy: 78.66%
Epoch 82, Train Loss: 0.0000, Test Loss: 1.2524, Test Accuracy: 73.60%, Best Test Accuracy: 78.66%
Epoch 83, Train Loss: 0.0000, Test Loss: 1.2560, Test Accuracy: 73.54%, Best Test Accuracy: 78.66%
Epoch 84, Train Loss: 0.0000, Test Loss: 1.2616, Test Accuracy: 73.67%, Best Test Accuracy: 78.66%
Epoch 85, Train Loss: 0.0000, Test Loss: 1.2669, Test Accuracy: 73.80%, Best Test Accuracy: 78.66%
Epoch 86, Train Loss: 0.0000, Test Loss: 1.2712, Test Accuracy: 73.80%, Best Test Accuracy: 78.66%
Epoch 87, Train Loss: 0.0000, Test Loss: 1.2781, Test Accuracy: 74.07%, Best Test Accuracy: 78.66%
Epoch 88, Train Loss: 0.0000, Test Loss: 1.2850, Test Accuracy: 74.47%, Best Test Accuracy: 78.66%
Epoch 89, Train Loss: 0.0000, Test Loss: 1.2913, Test Accuracy: 74.47%, Best Test Accuracy: 78.66%
Epoch 90, Train Loss: 0.0000, Test Loss: 1.2972, Test Accuracy: 74.40%, Best Test Accuracy: 78.66%
Epoch 91, Train Loss: 0.0000, Test Loss: 1.3023, Test Accuracy: 74.53%, Best Test Accuracy: 78.66%
Epoch 92, Train Loss: 0.0000, Test Loss: 1.3068, Test Accuracy: 74.53%, Best Test Accuracy: 78.66%
Epoch 93, Train Loss: 0.0000, Test Loss: 1.3108, Test Accuracy: 74.40%, Best Test Accuracy: 78.66%
Epoch 94, Train Loss: 0.0000, Test Loss: 1.3141, Test Accuracy: 74.34%, Best Test Accuracy: 78.66%
Epoch 95, Train Loss: 0.0000, Test Loss: 1.3172, Test Accuracy: 74.40%, Best Test Accuracy: 78.66%
Epoch 96, Train Loss: 0.0000, Test Loss: 1.3207, Test Accuracy: 74.53%, Best Test Accuracy: 78.66%
Epoch 97, Train Loss: 0.0000, Test Loss: 1.3267, Test Accuracy: 74.80%, Best Test Accuracy: 78.66%
Epoch 98, Train Loss: 0.0000, Test Loss: 1.3319, Test Accuracy: 74.87%, Best Test Accuracy: 78.66%
Epoch 99, Train Loss: 0.0000, Test Loss: 1.3366, Test Accuracy: 74.93%, Best Test Accuracy: 78.66%
Epoch 100, Train Loss: 0.0000, Test Loss: 1.3405, Test Accuracy: 74.93%, Best Test Accuracy: 78.66%
