Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/Mamba_s_r_05月17日_05时24分21秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=4, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
这他吗什么调残小技巧？是否在init初始化某一层，但不再foward里使用居然这么数据差别这么大？
Epoch 49, Train Loss: 0.4933, Test Loss: 0.7107, Test Accuracy: 51.40%, Best Test Accuracy: 51.99%
Epoch 50, Train Loss: 0.4987, Test Loss: 0.7093, Test Accuracy: 52.13%, Best Test Accuracy: 52.13%
Epoch 51, Train Loss: 0.4988, Test Loss: 0.7104, Test Accuracy: 51.80%, Best Test Accuracy: 52.13%
Epoch 52, Train Loss: 0.5701, Test Loss: 0.7097, Test Accuracy: 52.33%, Best Test Accuracy: 52.33%
Epoch 53, Train Loss: 0.4839, Test Loss: 0.7089, Test Accuracy: 52.39%, Best Test Accuracy: 52.39%
Epoch 54, Train Loss: 0.5293, Test Loss: 0.7085, Test Accuracy: 52.66%, Best Test Accuracy: 52.66%
Epoch 55, Train Loss: 0.4829, Test Loss: 0.7085, Test Accuracy: 52.86%, Best Test Accuracy: 52.86%
Epoch 56, Train Loss: 0.4661, Test Loss: 0.7097, Test Accuracy: 52.06%, Best Test Accuracy: 52.86%
Epoch 57, Train Loss: 0.5137, Test Loss: 0.7086, Test Accuracy: 53.19%, Best Test Accuracy: 53.19%
Epoch 58, Train Loss: 0.4776, Test Loss: 0.7114, Test Accuracy: 52.26%, Best Test Accuracy: 53.19%
Epoch 59, Train Loss: 0.4698, Test Loss: 0.7100, Test Accuracy: 52.99%, Best Test Accuracy: 53.19%
Epoch 60, Train Loss: 0.5066, Test Loss: 0.7115, Test Accuracy: 52.59%, Best Test Accuracy: 53.19%
Epoch 61, Train Loss: 0.4753, Test Loss: 0.7106, Test Accuracy: 52.93%, Best Test Accuracy: 53.19%
Epoch 62, Train Loss: 0.4753, Test Loss: 0.7134, Test Accuracy: 52.99%, Best Test Accuracy: 53.19%
Epoch 63, Train Loss: 0.4722, Test Loss: 0.7067, Test Accuracy: 52.06%, Best Test Accuracy: 53.19%
Epoch 64, Train Loss: 0.4824, Test Loss: 0.7079, Test Accuracy: 51.60%, Best Test Accuracy: 53.19%
Epoch 65, Train Loss: 0.4603, Test Loss: 0.7073, Test Accuracy: 51.93%, Best Test Accuracy: 53.19%
Epoch 66, Train Loss: 0.4504, Test Loss: 0.7071, Test Accuracy: 52.33%, Best Test Accuracy: 53.19%
Epoch 67, Train Loss: 0.4537, Test Loss: 0.7068, Test Accuracy: 52.46%, Best Test Accuracy: 53.19%
Epoch 68, Train Loss: 0.4571, Test Loss: 0.7074, Test Accuracy: 52.33%, Best Test Accuracy: 53.19%
Epoch 69, Train Loss: 0.4518, Test Loss: 0.7067, Test Accuracy: 53.19%, Best Test Accuracy: 53.19%
Epoch 70, Train Loss: 0.4925, Test Loss: 0.7062, Test Accuracy: 53.59%, Best Test Accuracy: 53.59%
Epoch 71, Train Loss: 0.4557, Test Loss: 0.7052, Test Accuracy: 53.79%, Best Test Accuracy: 53.79%
Epoch 72, Train Loss: 0.4332, Test Loss: 0.7039, Test Accuracy: 53.46%, Best Test Accuracy: 53.79%
Epoch 73, Train Loss: 0.4435, Test Loss: 0.7036, Test Accuracy: 53.79%, Best Test Accuracy: 53.79%
Epoch 74, Train Loss: 0.5002, Test Loss: 0.7034, Test Accuracy: 53.92%, Best Test Accuracy: 53.92%
Epoch 75, Train Loss: 0.4242, Test Loss: 0.7038, Test Accuracy: 54.06%, Best Test Accuracy: 54.06%
Epoch 76, Train Loss: 0.4895, Test Loss: 0.7042, Test Accuracy: 54.32%, Best Test Accuracy: 54.32%
Epoch 77, Train Loss: 0.4569, Test Loss: 0.7044, Test Accuracy: 54.19%, Best Test Accuracy: 54.32%
Epoch 78, Train Loss: 0.4420, Test Loss: 0.7046, Test Accuracy: 54.19%, Best Test Accuracy: 54.32%
Epoch 79, Train Loss: 0.4304, Test Loss: 0.7036, Test Accuracy: 54.19%, Best Test Accuracy: 54.32%
Epoch 80, Train Loss: 0.5064, Test Loss: 0.7016, Test Accuracy: 55.05%, Best Test Accuracy: 55.05%
Epoch 81, Train Loss: 0.3991, Test Loss: 0.7018, Test Accuracy: 55.45%, Best Test Accuracy: 55.45%
Epoch 82, Train Loss: 0.4325, Test Loss: 0.7026, Test Accuracy: 55.72%, Best Test Accuracy: 55.72%
Epoch 83, Train Loss: 0.4321, Test Loss: 0.7027, Test Accuracy: 55.85%, Best Test Accuracy: 55.85%
Epoch 84, Train Loss: 0.4551, Test Loss: 0.7052, Test Accuracy: 56.91%, Best Test Accuracy: 56.91%
Epoch 85, Train Loss: 0.4315, Test Loss: 0.7055, Test Accuracy: 56.85%, Best Test Accuracy: 56.91%
Epoch 86, Train Loss: 0.4285, Test Loss: 0.7046, Test Accuracy: 57.18%, Best Test Accuracy: 57.18%
Epoch 87, Train Loss: 0.4191, Test Loss: 0.7047, Test Accuracy: 57.31%, Best Test Accuracy: 57.31%
Epoch 88, Train Loss: 0.4142, Test Loss: 0.7048, Test Accuracy: 57.58%, Best Test Accuracy: 57.58%
Epoch 89, Train Loss: 0.4315, Test Loss: 0.7046, Test Accuracy: 57.38%, Best Test Accuracy: 57.58%
Epoch 90, Train Loss: 0.4351, Test Loss: 0.7043, Test Accuracy: 57.58%, Best Test Accuracy: 57.58%
Epoch 91, Train Loss: 0.4037, Test Loss: 0.7058, Test Accuracy: 56.85%, Best Test Accuracy: 57.58%
Epoch 92, Train Loss: 0.3923, Test Loss: 0.7054, Test Accuracy: 56.72%, Best Test Accuracy: 57.58%
Epoch 93, Train Loss: 0.4201, Test Loss: 0.7051, Test Accuracy: 56.52%, Best Test Accuracy: 57.58%
Epoch 94, Train Loss: 0.3830, Test Loss: 0.7035, Test Accuracy: 56.58%, Best Test Accuracy: 57.58%
Epoch 95, Train Loss: 0.3911, Test Loss: 0.7034, Test Accuracy: 56.98%, Best Test Accuracy: 57.58%
Epoch 96, Train Loss: 0.3860, Test Loss: 0.7040, Test Accuracy: 57.45%, Best Test Accuracy: 57.58%
Epoch 97, Train Loss: 0.4023, Test Loss: 0.7041, Test Accuracy: 57.58%, Best Test Accuracy: 57.58%
Epoch 98, Train Loss: 0.3969, Test Loss: 0.7042, Test Accuracy: 57.25%, Best Test Accuracy: 57.58%
Epoch 99, Train Loss: 0.3952, Test Loss: 0.7039, Test Accuracy: 57.71%, Best Test Accuracy: 57.71%
Epoch 100, Train Loss: 0.3852, Test Loss: 0.7045, Test Accuracy: 57.58%, Best Test Accuracy: 57.71%
Epoch 101, Train Loss: 0.3469, Test Loss: 0.7042, Test Accuracy: 57.91%, Best Test Accuracy: 57.91%
Epoch 102, Train Loss: 0.3639, Test Loss: 0.7038, Test Accuracy: 58.11%, Best Test Accuracy: 58.11%
Epoch 103, Train Loss: 0.3784, Test Loss: 0.7055, Test Accuracy: 57.85%, Best Test Accuracy: 58.11%
Epoch 104, Train Loss: 0.3737, Test Loss: 0.7076, Test Accuracy: 57.25%, Best Test Accuracy: 58.11%
Epoch 105, Train Loss: 0.3791, Test Loss: 0.7068, Test Accuracy: 57.45%, Best Test Accuracy: 58.11%
Epoch 106, Train Loss: 0.3812, Test Loss: 0.7050, Test Accuracy: 57.45%, Best Test Accuracy: 58.11%
Epoch 107, Train Loss: 0.3616, Test Loss: 0.7047, Test Accuracy: 57.78%, Best Test Accuracy: 58.11%
