Console output is being logged to: /home/gyf/HC/Multimodal-Sentiment-Analysis/Pytorch/record/M_s_R_7992_05月17日_05时28分15秒.log
Config(version='For Mosi 7992', log_dir='../record', dropout_rate=0.7, batch_size=4, shuffle=True, learning_rate=0.0001, epochs=10000, random_seed=42, L1=1e-07, L2=1e-09)
Data loaded and processed.
Epoch 50, Train Loss: 0.4879, Test Loss: 0.7006, Test Accuracy: 56.98%, Best Test Accuracy: 56.98%
Epoch 51, Train Loss: 0.4938, Test Loss: 0.7024, Test Accuracy: 56.25%, Best Test Accuracy: 56.98%
Epoch 52, Train Loss: 0.4843, Test Loss: 0.7061, Test Accuracy: 54.99%, Best Test Accuracy: 56.98%
Epoch 53, Train Loss: 0.5307, Test Loss: 0.7030, Test Accuracy: 56.05%, Best Test Accuracy: 56.98%
Epoch 54, Train Loss: 0.5442, Test Loss: 0.7009, Test Accuracy: 56.58%, Best Test Accuracy: 56.98%
Epoch 55, Train Loss: 0.5004, Test Loss: 0.7058, Test Accuracy: 54.92%, Best Test Accuracy: 56.98%
Epoch 56, Train Loss: 0.5426, Test Loss: 0.7021, Test Accuracy: 55.98%, Best Test Accuracy: 56.98%
Epoch 57, Train Loss: 0.4580, Test Loss: 0.7003, Test Accuracy: 56.38%, Best Test Accuracy: 56.98%
Epoch 58, Train Loss: 0.4800, Test Loss: 0.6997, Test Accuracy: 56.85%, Best Test Accuracy: 56.98%
Epoch 59, Train Loss: 0.4895, Test Loss: 0.6996, Test Accuracy: 56.32%, Best Test Accuracy: 56.98%
Epoch 60, Train Loss: 0.5093, Test Loss: 0.6986, Test Accuracy: 57.25%, Best Test Accuracy: 57.25%
Epoch 61, Train Loss: 0.4363, Test Loss: 0.6982, Test Accuracy: 57.65%, Best Test Accuracy: 57.65%
Epoch 62, Train Loss: 0.4770, Test Loss: 0.6975, Test Accuracy: 57.91%, Best Test Accuracy: 57.91%
Epoch 63, Train Loss: 0.4511, Test Loss: 0.6963, Test Accuracy: 58.71%, Best Test Accuracy: 58.71%
Epoch 64, Train Loss: 0.4459, Test Loss: 0.6957, Test Accuracy: 59.04%, Best Test Accuracy: 59.04%
Epoch 65, Train Loss: 0.4250, Test Loss: 0.6949, Test Accuracy: 59.31%, Best Test Accuracy: 59.31%
Epoch 66, Train Loss: 0.4334, Test Loss: 0.6946, Test Accuracy: 59.51%, Best Test Accuracy: 59.51%
Epoch 67, Train Loss: 0.4218, Test Loss: 0.6947, Test Accuracy: 59.57%, Best Test Accuracy: 59.57%
Epoch 68, Train Loss: 0.4216, Test Loss: 0.7015, Test Accuracy: 55.45%, Best Test Accuracy: 59.57%
Epoch 69, Train Loss: 0.5295, Test Loss: 0.6971, Test Accuracy: 57.58%, Best Test Accuracy: 59.57%
Epoch 70, Train Loss: 0.4723, Test Loss: 0.6956, Test Accuracy: 58.64%, Best Test Accuracy: 59.57%
Epoch 71, Train Loss: 0.4759, Test Loss: 0.6946, Test Accuracy: 59.18%, Best Test Accuracy: 59.57%
Epoch 72, Train Loss: 0.4959, Test Loss: 0.6939, Test Accuracy: 59.57%, Best Test Accuracy: 59.57%
Epoch 73, Train Loss: 0.4506, Test Loss: 0.6932, Test Accuracy: 60.04%, Best Test Accuracy: 60.04%
Epoch 74, Train Loss: 0.4489, Test Loss: 0.6924, Test Accuracy: 59.91%, Best Test Accuracy: 60.04%
Epoch 75, Train Loss: 0.4108, Test Loss: 0.6926, Test Accuracy: 59.97%, Best Test Accuracy: 60.04%
Epoch 76, Train Loss: 0.3963, Test Loss: 0.6924, Test Accuracy: 60.11%, Best Test Accuracy: 60.11%
Epoch 77, Train Loss: 0.3856, Test Loss: 0.6925, Test Accuracy: 59.77%, Best Test Accuracy: 60.11%
Epoch 78, Train Loss: 0.4007, Test Loss: 0.6923, Test Accuracy: 59.84%, Best Test Accuracy: 60.11%
Epoch 79, Train Loss: 0.4240, Test Loss: 0.6916, Test Accuracy: 60.24%, Best Test Accuracy: 60.24%
Epoch 80, Train Loss: 0.4207, Test Loss: 0.6924, Test Accuracy: 59.77%, Best Test Accuracy: 60.24%
Epoch 81, Train Loss: 0.4038, Test Loss: 0.6920, Test Accuracy: 59.57%, Best Test Accuracy: 60.24%
Epoch 82, Train Loss: 0.3939, Test Loss: 0.6915, Test Accuracy: 59.51%, Best Test Accuracy: 60.24%
Epoch 83, Train Loss: 0.3991, Test Loss: 0.6917, Test Accuracy: 59.71%, Best Test Accuracy: 60.24%
Epoch 84, Train Loss: 0.4330, Test Loss: 0.6915, Test Accuracy: 60.44%, Best Test Accuracy: 60.44%
Epoch 85, Train Loss: 0.4190, Test Loss: 0.6911, Test Accuracy: 60.24%, Best Test Accuracy: 60.44%
Epoch 86, Train Loss: 0.4170, Test Loss: 0.6908, Test Accuracy: 60.57%, Best Test Accuracy: 60.57%
Epoch 87, Train Loss: 0.3973, Test Loss: 0.6900, Test Accuracy: 60.44%, Best Test Accuracy: 60.57%
Epoch 88, Train Loss: 0.4230, Test Loss: 0.6895, Test Accuracy: 60.51%, Best Test Accuracy: 60.57%
Epoch 89, Train Loss: 0.3884, Test Loss: 0.6892, Test Accuracy: 61.17%, Best Test Accuracy: 61.17%
Epoch 90, Train Loss: 0.3950, Test Loss: 0.6891, Test Accuracy: 60.97%, Best Test Accuracy: 61.17%
Epoch 91, Train Loss: 0.3867, Test Loss: 0.6890, Test Accuracy: 61.30%, Best Test Accuracy: 61.30%
Epoch 92, Train Loss: 0.3809, Test Loss: 0.6890, Test Accuracy: 61.30%, Best Test Accuracy: 61.30%
Epoch 93, Train Loss: 0.4178, Test Loss: 0.6889, Test Accuracy: 61.77%, Best Test Accuracy: 61.77%
Epoch 94, Train Loss: 0.3766, Test Loss: 0.6898, Test Accuracy: 60.11%, Best Test Accuracy: 61.77%
Epoch 95, Train Loss: 0.4078, Test Loss: 0.6891, Test Accuracy: 60.97%, Best Test Accuracy: 61.77%
Epoch 96, Train Loss: 0.4010, Test Loss: 0.6887, Test Accuracy: 61.30%, Best Test Accuracy: 61.77%
Epoch 97, Train Loss: 0.3913, Test Loss: 0.6882, Test Accuracy: 61.37%, Best Test Accuracy: 61.77%
Epoch 98, Train Loss: 0.4253, Test Loss: 0.6876, Test Accuracy: 61.50%, Best Test Accuracy: 61.77%
Epoch 99, Train Loss: 0.4186, Test Loss: 0.6871, Test Accuracy: 62.23%, Best Test Accuracy: 62.23%
Epoch 100, Train Loss: 0.3684, Test Loss: 0.6868, Test Accuracy: 62.43%, Best Test Accuracy: 62.43%
Epoch 101, Train Loss: 0.3836, Test Loss: 0.6862, Test Accuracy: 62.97%, Best Test Accuracy: 62.97%
Epoch 102, Train Loss: 0.3936, Test Loss: 0.6861, Test Accuracy: 63.16%, Best Test Accuracy: 63.16%
Epoch 103, Train Loss: 0.3518, Test Loss: 0.6860, Test Accuracy: 62.83%, Best Test Accuracy: 63.16%
Epoch 104, Train Loss: 0.3548, Test Loss: 0.6860, Test Accuracy: 62.77%, Best Test Accuracy: 63.16%
Epoch 105, Train Loss: 0.3572, Test Loss: 0.6859, Test Accuracy: 63.23%, Best Test Accuracy: 63.23%
Epoch 106, Train Loss: 0.3517, Test Loss: 0.6856, Test Accuracy: 63.03%, Best Test Accuracy: 63.23%
Epoch 107, Train Loss: 0.3511, Test Loss: 0.6854, Test Accuracy: 63.50%, Best Test Accuracy: 63.50%
Epoch 108, Train Loss: 0.3482, Test Loss: 0.6852, Test Accuracy: 63.50%, Best Test Accuracy: 63.50%
Epoch 109, Train Loss: 0.3858, Test Loss: 0.6850, Test Accuracy: 63.56%, Best Test Accuracy: 63.56%
Epoch 110, Train Loss: 0.3904, Test Loss: 0.6849, Test Accuracy: 63.43%, Best Test Accuracy: 63.56%
Epoch 111, Train Loss: 0.3204, Test Loss: 0.6849, Test Accuracy: 63.56%, Best Test Accuracy: 63.56%
Epoch 112, Train Loss: 0.3529, Test Loss: 0.6847, Test Accuracy: 63.50%, Best Test Accuracy: 63.56%
Epoch 113, Train Loss: 0.3632, Test Loss: 0.6846, Test Accuracy: 63.16%, Best Test Accuracy: 63.56%
Epoch 114, Train Loss: 0.3613, Test Loss: 0.6844, Test Accuracy: 63.50%, Best Test Accuracy: 63.56%
Epoch 115, Train Loss: 0.3331, Test Loss: 0.6841, Test Accuracy: 63.56%, Best Test Accuracy: 63.56%
Epoch 116, Train Loss: 0.3626, Test Loss: 0.6842, Test Accuracy: 63.30%, Best Test Accuracy: 63.56%
Epoch 117, Train Loss: 0.3621, Test Loss: 0.6844, Test Accuracy: 62.90%, Best Test Accuracy: 63.56%
Epoch 118, Train Loss: 0.3304, Test Loss: 0.6841, Test Accuracy: 62.83%, Best Test Accuracy: 63.56%
Epoch 119, Train Loss: 0.3380, Test Loss: 0.6839, Test Accuracy: 62.90%, Best Test Accuracy: 63.56%
Epoch 120, Train Loss: 0.3502, Test Loss: 0.6835, Test Accuracy: 63.10%, Best Test Accuracy: 63.56%
Epoch 121, Train Loss: 0.3594, Test Loss: 0.6834, Test Accuracy: 63.23%, Best Test Accuracy: 63.56%
Epoch 122, Train Loss: 0.3101, Test Loss: 0.6838, Test Accuracy: 63.16%, Best Test Accuracy: 63.56%
Epoch 123, Train Loss: 0.3527, Test Loss: 0.6828, Test Accuracy: 63.90%, Best Test Accuracy: 63.90%
Epoch 124, Train Loss: 0.3042, Test Loss: 0.6826, Test Accuracy: 64.10%, Best Test Accuracy: 64.10%
Epoch 125, Train Loss: 0.3438, Test Loss: 0.6826, Test Accuracy: 64.23%, Best Test Accuracy: 64.23%
Epoch 126, Train Loss: 0.3508, Test Loss: 0.6827, Test Accuracy: 64.16%, Best Test Accuracy: 64.23%
